timestamp,pod,cpu,memory,window
2022-07-11 14:21:07.557326,dispatch-cd4db89f8-fpx47,28621925,186580,0
2022-07-11 14:21:07.557326,maindbmspostgres-7dcbcbbf79-vncxh,2384152,138208,0
2022-07-11 14:21:07.557326,accounting-5dfb9d69f6-9g8vm,34261443,188136,0
2022-07-11 14:21:07.557326,delivery-85f66d8ff7-hrdlg,1800968,175176,0
2022-07-11 14:21:07.557326,notification-5895bd556d-xjfx5,3608215,168324,0
2022-07-11 14:21:07.557326,itemviewer-7b85457c5f-f4jbd,654559,134572,0
2022-07-11 14:21:07.557326,order-8489bc4dd6-qdr48,35076723,172608,0
2022-07-11 14:21:07.557326,pricecalculator-6b46855cf6-st9nj,860720,136244,0
2022-07-11 14:21:07.557326,paymentprovider-7d4866ff94-nkr25,698335,137840,0
2022-07-11 14:21:07.557326,restaurant-7d5ff68594-v7f22,6239723,174600,0
2022-07-11 14:21:07.557326,storehouse-6ff656d6-vm922,2194196,145548,0
2022-07-11 14:21:09.571390,dispatch-cd4db89f8-fpx47,28621925,186580,0
2022-07-11 14:21:09.571390,maindbmspostgres-7dcbcbbf79-vncxh,2384152,138208,0
2022-07-11 14:21:09.571390,accounting-5dfb9d69f6-9g8vm,34261443,188136,0
2022-07-11 14:21:09.571390,delivery-85f66d8ff7-hrdlg,1800968,175176,0
2022-07-11 14:21:09.571390,notification-5895bd556d-xjfx5,3608215,168324,0
2022-07-11 14:21:09.571390,itemviewer-7b85457c5f-f4jbd,654559,134572,0
2022-07-11 14:21:09.571390,order-8489bc4dd6-qdr48,35076723,172608,0
2022-07-11 14:21:09.571390,pricecalculator-6b46855cf6-st9nj,860720,136244,0
2022-07-11 14:21:09.571390,paymentprovider-7d4866ff94-nkr25,698335,137840,0
2022-07-11 14:21:09.571390,restaurant-7d5ff68594-v7f22,6239723,174600,0
2022-07-11 14:21:09.571390,storehouse-6ff656d6-vm922,2194196,145548,0
2022-07-11 14:21:11.404923,dispatch-cd4db89f8-fpx47,28621925,186580,0
2022-07-11 14:21:11.404923,maindbmspostgres-7dcbcbbf79-vncxh,2384152,138208,0
2022-07-11 14:21:11.404923,accounting-5dfb9d69f6-9g8vm,34261443,188136,0
2022-07-11 14:21:11.404923,delivery-85f66d8ff7-hrdlg,1800968,175176,0
2022-07-11 14:21:11.404923,notification-5895bd556d-xjfx5,3608215,168324,0
2022-07-11 14:21:11.404923,itemviewer-7b85457c5f-f4jbd,654559,134572,0
2022-07-11 14:21:11.404923,order-8489bc4dd6-qdr48,35076723,172608,0
2022-07-11 14:21:11.404923,pricecalculator-6b46855cf6-st9nj,860720,136244,0
2022-07-11 14:21:11.404923,paymentprovider-7d4866ff94-nkr25,698335,137840,0
2022-07-11 14:21:11.404923,restaurant-7d5ff68594-v7f22,6239723,174600,0
2022-07-11 14:21:11.404923,storehouse-6ff656d6-vm922,2194196,145548,0
2022-07-11 14:21:13.286501,dispatch-cd4db89f8-fpx47,28621925,186580,0
2022-07-11 14:21:13.286501,maindbmspostgres-7dcbcbbf79-vncxh,2384152,138208,0
2022-07-11 14:21:13.286501,accounting-5dfb9d69f6-9g8vm,34261443,188136,0
2022-07-11 14:21:13.286501,delivery-85f66d8ff7-hrdlg,1800968,175176,0
2022-07-11 14:21:13.286501,notification-5895bd556d-xjfx5,3608215,168324,0
2022-07-11 14:21:13.286501,itemviewer-7b85457c5f-f4jbd,654559,134572,0
2022-07-11 14:21:13.286501,order-8489bc4dd6-qdr48,35076723,172608,0
2022-07-11 14:21:13.286501,pricecalculator-6b46855cf6-st9nj,860720,136244,0
2022-07-11 14:21:13.286501,paymentprovider-7d4866ff94-nkr25,698335,137840,0
2022-07-11 14:21:13.286501,restaurant-7d5ff68594-v7f22,6239723,174600,0
2022-07-11 14:21:13.286501,storehouse-6ff656d6-vm922,730483,145548,0
2022-07-11 14:21:15.146134,dispatch-cd4db89f8-fpx47,914190,186584,0
2022-07-11 14:21:15.146134,maindbmspostgres-7dcbcbbf79-vncxh,1380108,138348,0
2022-07-11 14:21:15.146134,accounting-5dfb9d69f6-9g8vm,2114459,188468,0
2022-07-11 14:21:15.146134,delivery-85f66d8ff7-hrdlg,4585979,175440,0
2022-07-11 14:21:15.146134,notification-5895bd556d-xjfx5,4888631,168372,0
2022-07-11 14:21:15.146134,itemviewer-7b85457c5f-f4jbd,791079,134856,0
2022-07-11 14:21:15.146134,order-8489bc4dd6-qdr48,8177089,172656,0
2022-07-11 14:21:15.146134,pricecalculator-6b46855cf6-st9nj,672203,136244,0
2022-07-11 14:21:15.146134,paymentprovider-7d4866ff94-nkr25,715358,137844,0
2022-07-11 14:21:15.146134,restaurant-7d5ff68594-v7f22,993271,174480,0
2022-07-11 14:21:15.146134,storehouse-6ff656d6-vm922,730483,145548,0
2022-07-11 14:21:16.978089,dispatch-cd4db89f8-fpx47,914190,186584,0
2022-07-11 14:21:16.978089,maindbmspostgres-7dcbcbbf79-vncxh,1380108,138348,0
2022-07-11 14:21:16.978089,accounting-5dfb9d69f6-9g8vm,2114459,188468,0
2022-07-11 14:21:16.978089,delivery-85f66d8ff7-hrdlg,4585979,175440,0
2022-07-11 14:21:16.978089,notification-5895bd556d-xjfx5,4888631,168372,0
2022-07-11 14:21:16.978089,itemviewer-7b85457c5f-f4jbd,791079,134856,0
2022-07-11 14:21:16.978089,order-8489bc4dd6-qdr48,8177089,172656,0
2022-07-11 14:21:16.978089,pricecalculator-6b46855cf6-st9nj,672203,136244,0
2022-07-11 14:21:16.978089,paymentprovider-7d4866ff94-nkr25,715358,137844,0
2022-07-11 14:21:16.978089,restaurant-7d5ff68594-v7f22,993271,174480,0
2022-07-11 14:21:16.978089,storehouse-6ff656d6-vm922,730483,145548,0
2022-07-11 14:21:18.822515,dispatch-cd4db89f8-fpx47,914190,186584,0
2022-07-11 14:21:18.822515,maindbmspostgres-7dcbcbbf79-vncxh,1380108,138348,0
2022-07-11 14:21:18.822515,accounting-5dfb9d69f6-9g8vm,2114459,188468,0
2022-07-11 14:21:18.822515,delivery-85f66d8ff7-hrdlg,4585979,175440,0
2022-07-11 14:21:18.822515,notification-5895bd556d-xjfx5,4888631,168372,0
2022-07-11 14:21:18.822515,itemviewer-7b85457c5f-f4jbd,791079,134856,0
2022-07-11 14:21:18.822515,order-8489bc4dd6-qdr48,8177089,172656,0
2022-07-11 14:21:18.822515,pricecalculator-6b46855cf6-st9nj,672203,136244,0
2022-07-11 14:21:18.822515,paymentprovider-7d4866ff94-nkr25,715358,137844,0
2022-07-11 14:21:18.822515,restaurant-7d5ff68594-v7f22,993271,174480,0
2022-07-11 14:21:18.822515,storehouse-6ff656d6-vm922,730483,145548,0
2022-07-11 14:21:20.661354,dispatch-cd4db89f8-fpx47,914190,186584,0
2022-07-11 14:21:20.661354,maindbmspostgres-7dcbcbbf79-vncxh,1380108,138348,0
2022-07-11 14:21:20.661354,accounting-5dfb9d69f6-9g8vm,2114459,188468,0
2022-07-11 14:21:20.661354,delivery-85f66d8ff7-hrdlg,4585979,175440,0
2022-07-11 14:21:20.661354,notification-5895bd556d-xjfx5,4888631,168372,0
2022-07-11 14:21:20.661354,itemviewer-7b85457c5f-f4jbd,791079,134856,0
2022-07-11 14:21:20.661354,order-8489bc4dd6-qdr48,8177089,172656,0
2022-07-11 14:21:20.661354,pricecalculator-6b46855cf6-st9nj,672203,136244,0
2022-07-11 14:21:20.661354,paymentprovider-7d4866ff94-nkr25,715358,137844,0
