timestamp,pod,cpu,memory,window
2022-07-21 14:30:09.261403,delivery-75dbd98885-6ffxt,1317603,195692,0
2022-07-21 14:30:09.261403,storehouse-54f58c8b98-bd2qx,1155571,179360,0
2022-07-21 14:30:09.261403,accounting-8b8b49495-zn6tb,1125661,220680,0
2022-07-21 14:30:09.261403,itemviewer-77996fd8f-2v6l9,723129,135724,0
2022-07-21 14:30:09.261403,dispatch-5f9dcbc858-jtzj2,1141719,206744,0
2022-07-21 14:30:09.261403,notification-c64668594-xlqwd,965829,194932,0
2022-07-21 14:30:09.261403,pricecalculator-d667995cb-29gmr,745599,133560,0
2022-07-21 14:30:09.261403,paymentprovider-9b68694db-f8c2r,772158,133864,0
2022-07-21 14:30:09.261403,restaurant-7c877456df-lb5w9,1208244,212916,0
2022-07-21 14:30:09.261403,order-bb8bc89c9-967x4,1502867,187720,0
2022-07-21 14:30:09.261403,maindbmspostgres-7dcbcbbf79-pmh6z,1492355,129556,0
2022-07-21 14:30:11.223688,delivery-75dbd98885-6ffxt,1317603,195692,0
2022-07-21 14:30:11.223688,storehouse-54f58c8b98-bd2qx,1155571,179360,0
2022-07-21 14:30:11.223688,accounting-8b8b49495-zn6tb,1125661,220680,0
2022-07-21 14:30:11.223688,itemviewer-77996fd8f-2v6l9,723129,135724,0
2022-07-21 14:30:11.223688,dispatch-5f9dcbc858-jtzj2,1141719,206744,0
2022-07-21 14:30:11.223688,notification-c64668594-xlqwd,965829,194932,0
2022-07-21 14:30:11.223688,pricecalculator-d667995cb-29gmr,745599,133560,0
2022-07-21 14:30:11.223688,paymentprovider-9b68694db-f8c2r,772158,133864,0
2022-07-21 14:30:11.223688,restaurant-7c877456df-lb5w9,1208244,212916,0
2022-07-21 14:30:11.223688,order-bb8bc89c9-967x4,1502867,187720,0
2022-07-21 14:30:11.223688,maindbmspostgres-7dcbcbbf79-pmh6z,1492355,129556,0
2022-07-21 14:30:13.118078,delivery-75dbd98885-6ffxt,1317603,195692,0
2022-07-21 14:30:13.118078,storehouse-54f58c8b98-bd2qx,1155571,179360,0
2022-07-21 14:30:13.118078,accounting-8b8b49495-zn6tb,1125661,220680,0
2022-07-21 14:30:13.118078,itemviewer-77996fd8f-2v6l9,723129,135724,0
2022-07-21 14:30:13.118078,dispatch-5f9dcbc858-jtzj2,1141719,206744,0
2022-07-21 14:30:13.118078,notification-c64668594-xlqwd,965829,194932,0
2022-07-21 14:30:13.118078,pricecalculator-d667995cb-29gmr,745599,133560,0
2022-07-21 14:30:13.118078,paymentprovider-9b68694db-f8c2r,772158,133864,0
2022-07-21 14:30:13.118078,restaurant-7c877456df-lb5w9,1208244,212916,0
2022-07-21 14:30:13.118078,order-bb8bc89c9-967x4,1502867,187720,0
2022-07-21 14:30:13.118078,maindbmspostgres-7dcbcbbf79-pmh6z,1492355,129556,0
2022-07-21 14:30:14.994613,delivery-75dbd98885-6ffxt,1944679,195692,0
2022-07-21 14:30:14.994613,storehouse-54f58c8b98-bd2qx,1338802,179360,0
2022-07-21 14:30:14.994613,accounting-8b8b49495-zn6tb,1976516,220768,0
2022-07-21 14:30:14.994613,itemviewer-77996fd8f-2v6l9,761337,135724,0
2022-07-21 14:30:14.994613,dispatch-5f9dcbc858-jtzj2,2061368,206756,0
2022-07-21 14:30:14.994613,notification-c64668594-xlqwd,4146808,194948,0
2022-07-21 14:30:14.994613,pricecalculator-d667995cb-29gmr,762864,133560,0
2022-07-21 14:30:14.994613,paymentprovider-9b68694db-f8c2r,675895,133864,0
