timestamp,pod,cpu,memory,window
2022-07-21 15:16:12.749697,maindbmspostgres-9994957d7-pg7wm,1189800,101824,0
2022-07-21 15:16:12.749697,storehouse-678b87d786-hx9fv,902209,157376,0
2022-07-21 15:16:12.749697,paymentprovider-6869979b66-ch68x,822823,127368,0
2022-07-21 15:16:12.749697,restaurant-5dbb68c7d9-85qpz,2190323,178660,0
2022-07-21 15:16:12.749697,pricecalculator-65cbc7d946-64cqf,1565575,178760,0
2022-07-21 15:16:12.749697,delivery-b457c49f-7djsx,1272054,166212,0
2022-07-21 15:16:12.749697,notification-6476f5f558-mskj9,1124824,130984,0
2022-07-21 15:16:12.749697,kitchen-6d9ff995fc-7hmtp,1108679,129760,0
2022-07-21 15:16:12.749697,accounting-7498b54bbb-k9xnh,1484550,172536,0
2022-07-21 15:16:12.749697,itemviewer-866ccb9c9f-mnbnv,2136564,173224,0
2022-07-21 15:16:12.749697,order-7b5c5ccfb8-r4b7d,946691,137212,0
2022-07-21 15:16:12.749697,dispatch-658ff74dbb-4mcq7,730912,176372,0
2022-07-21 15:16:15.154106,maindbmspostgres-9994957d7-pg7wm,1222325,102192,0
2022-07-21 15:16:15.154106,storehouse-678b87d786-hx9fv,5392173,157384,0
2022-07-21 15:16:15.154106,paymentprovider-6869979b66-ch68x,706023,127368,0
2022-07-21 15:16:15.154106,restaurant-5dbb68c7d9-85qpz,4407793,178672,0
2022-07-21 15:16:15.154106,pricecalculator-65cbc7d946-64cqf,26343371,178924,0
2022-07-21 15:16:15.154106,delivery-b457c49f-7djsx,19015691,166356,0
2022-07-21 15:16:15.154106,notification-6476f5f558-mskj9,915844,130992,0
2022-07-21 15:16:15.154106,kitchen-6d9ff995fc-7hmtp,909237,129772,0
2022-07-21 15:16:15.154106,accounting-7498b54bbb-k9xnh,1484550,172536,0
2022-07-21 15:16:15.154106,itemviewer-866ccb9c9f-mnbnv,2136564,173224,0
2022-07-21 15:16:15.154106,order-7b5c5ccfb8-r4b7d,1282436,137264,0
2022-07-21 15:16:15.154106,dispatch-658ff74dbb-4mcq7,730912,176372,0
2022-07-21 15:16:17.385713,maindbmspostgres-9994957d7-pg7wm,1222325,102192,0
2022-07-21 15:16:17.385713,storehouse-678b87d786-hx9fv,5392173,157384,0
2022-07-21 15:16:17.385713,paymentprovider-6869979b66-ch68x,706023,127368,0
2022-07-21 15:16:17.385713,restaurant-5dbb68c7d9-85qpz,4407793,178672,0
2022-07-21 15:16:17.385713,pricecalculator-65cbc7d946-64cqf,26343371,178924,0
2022-07-21 15:16:17.385713,delivery-b457c49f-7djsx,19015691,166356,0
2022-07-21 15:16:17.385713,notification-6476f5f558-mskj9,915844,130992,0
2022-07-21 15:16:17.385713,kitchen-6d9ff995fc-7hmtp,909237,129772,0
2022-07-21 15:16:17.385713,accounting-7498b54bbb-k9xnh,1484550,172536,0
2022-07-21 15:16:17.385713,itemviewer-866ccb9c9f-mnbnv,2136564,173224,0
2022-07-21 15:16:17.385713,order-7b5c5ccfb8-r4b7d,1282436,137264,0
2022-07-21 15:16:17.385713,dispatch-658ff74dbb-4mcq7,730912,176372,0
2022-07-21 15:16:19.638116,maindbmspostgres-9994957d7-pg7wm,1222325,102192,0
2022-07-21 15:16:19.638116,storehouse-678b87d786-hx9fv,5392173,157384,0
2022-07-21 15:16:19.638116,paymentprovider-6869979b66-ch68x,706023,127368,0
2022-07-21 15:16:19.638116,restaurant-5dbb68c7d9-85qpz,4407793,178672,0
2022-07-21 15:16:19.638116,pricecalculator-65cbc7d946-64cqf,26343371,178924,0
2022-07-21 15:16:19.638116,delivery-b457c49f-7djsx,19015691,166356,0
2022-07-21 15:16:19.638116,notification-6476f5f558-mskj9,915844,130992,0
2022-07-21 15:16:19.638116,kitchen-6d9ff995fc-7hmtp,909237,129772,0
2022-07-21 15:16:19.638116,accounting-7498b54bbb-k9xnh,1484550,172536,0
2022-07-21 15:16:19.638116,itemviewer-866ccb9c9f-mnbnv,2136564,173224,0
2022-07-21 15:16:19.638116,order-7b5c5ccfb8-r4b7d,1282436,137264,0
2022-07-21 15:16:19.638116,dispatch-658ff74dbb-4mcq7,730912,176372,0
2022-07-21 15:16:21.969767,maindbmspostgres-9994957d7-pg7wm,1222325,102192,0
2022-07-21 15:16:21.969767,storehouse-678b87d786-hx9fv,5392173,157384,0
2022-07-21 15:16:21.969767,paymentprovider-6869979b66-ch68x,706023,127368,0
2022-07-21 15:16:21.969767,restaurant-5dbb68c7d9-85qpz,4407793,178672,0
2022-07-21 15:16:21.969767,pricecalculator-65cbc7d946-64cqf,26343371,178924,0
2022-07-21 15:16:21.969767,delivery-b457c49f-7djsx,19015691,166356,0
2022-07-21 15:16:21.969767,notification-6476f5f558-mskj9,915844,130992,0
2022-07-21 15:16:21.969767,kitchen-6d9ff995fc-7hmtp,909237,129772,0
2022-07-21 15:16:21.969767,accounting-7498b54bbb-k9xnh,1484550,172536,0
2022-07-21 15:16:21.969767,itemviewer-866ccb9c9f-mnbnv,2136564,173224,0
2022-07-21 15:16:21.969767,order-7b5c5ccfb8-r4b7d,1282436,137264,0
2022-07-21 15:16:21.969767,dispatch-658ff74dbb-4mcq7,730912,176372,0
2022-07-21 15:16:24.274841,maindbmspostgres-9994957d7-pg7wm,1222325,102192,0
2022-07-21 15:16:24.274841,storehouse-678b87d786-hx9fv,5392173,157384,0
2022-07-21 15:16:24.274841,paymentprovider-6869979b66-ch68x,706023,127368,0
2022-07-21 15:16:24.274841,restaurant-5dbb68c7d9-85qpz,4407793,178672,0
2022-07-21 15:16:24.274841,pricecalculator-65cbc7d946-64cqf,26343371,178924,0
2022-07-21 15:16:24.274841,delivery-b457c49f-7djsx,19015691,166356,0
2022-07-21 15:16:24.274841,notification-6476f5f558-mskj9,915844,130992,0
2022-07-21 15:16:24.274841,kitchen-6d9ff995fc-7hmtp,909237,129772,0
2022-07-21 15:16:24.274841,accounting-7498b54bbb-k9xnh,1484550,172536,0
2022-07-21 15:16:24.274841,itemviewer-866ccb9c9f-mnbnv,2136564,173224,0
2022-07-21 15:16:24.274841,order-7b5c5ccfb8-r4b7d,1282436,137264,0
2022-07-21 15:16:24.274841,dispatch-658ff74dbb-4mcq7,730912,176372,0
2022-07-21 15:16:26.637125,maindbmspostgres-9994957d7-pg7wm,1222325,102192,0
2022-07-21 15:16:26.637125,storehouse-678b87d786-hx9fv,5392173,157384,0
2022-07-21 15:16:26.637125,paymentprovider-6869979b66-ch68x,706023,127368,0
